﻿total=1044
établir	创立；建立；确立
établir sur qch	建立在...上
étendre	展开；伸开
s'étendre	伸展，展开；直躺着
disparaître	消失；消散
célèbre	著名的；出名的
être célèbre pour	以...闻名
augmenter	增加；增长
autant	同样；同样多
autour	在周围；在附近
exprimer	表达；表示；表现出
s'exprimer	表达，表现；显露
face	脸
en face de	在...对面
face à face	面对面
fâché ,e	生气的；恼火的
façon	方式；方法
de toute façon	无论如何
à la façon	按...的方式
de façon à +inf	以便于
gagner	赚；赢得；获得
garde	（阴性名词）保管；保卫
prendre garde à	提防；小心
goût	爱好；味道
goûter	尝；欣赏
grâce	（阴性名词）恩惠；感激；优雅
grâce à	多亏；由于
heure	小时；点钟
tout à l'heure	刚才
de bonne heure	大清早；早
heureusement	幸好；完美地
heureux ,se	幸福的，高兴的，幸运的
inférieur ,e	低于...
etre inférieur à	低于...
informer	通知，告知
s'informer de	打听
lit	（阳性名词） 床
être au lit	在床上
aller au lit	去睡觉
livrer	交付；交出
se livrer à	沉湎于；放任自己
loger	住
longtemps	长久地；很久
lutter contre	与...斗争；反对...
lutter pour	为...而奋斗
à la maison	在家里
laisser qch/qn à qn	把某物/某人留下；托付给某人
laisser qch/qn	+表语 让某物/某人保持（某种状态）
laisser +inf + qch/qn	让某人做...。任凭某物...
marquer	标出；划出；指明；指示
même	相同的；同样的
passionné ,e	热情的；热烈的
congé	（阳性名词）假期；离职
prendre un congé (sans...)	休假（不带...）
prendre congé de qn.	向某人告别
connaître qn	认识某人
connaître un lieu	熟悉某地
défendre	保卫；为...辩护；禁止
défendre à qn. +inf	禁止某人做
Bon appétit !	祝你好胃口！
un océan	海洋
la variation	变化
local,e, aux	地方的；地区的
parcourir	跑遍；流经
varié ,e	多变的
le commerce	商业；贸易
industriel ,le	工业的
un siège	所在地；位置
un parlement	议会
Européen ,ne	欧洲的
relier	连接
une autoroute	高速公路
une chemin de fer	铁路
un avion	飞机
une dimension	大小；尺寸；体积
riche de...	富有...的
une culture	文化
International,e,aux	国际的
un échange	交流；交换
faire connaissance avec	qn.和某人相识
