﻿total=1147
ability	n.能力，才干；技能
able	a.能，会；有才能的
accept	vt.接受，收领，承担
accidentally	ad.意外地，偶然地
accompany	vi.伴随，陪伴，伴奏
account	vi.说明；占(...数量)
accurate	a.准确的；正确的
accustom	vt.使习惯，习惯于
acquire	vt.取得，获得
act	vi.行动，做，表演
active	a.活的，活动的
actual	a.实际的，真实的
actually	ad.实际上
add	vt.补充说，增添
admire	vt.赞美，夸奖，钦佩
admit	vi.承认；允许
advertiser	n.做广告的人
afterwards	ad.以后，后来，然后
agree	vt.同意，承认
agreement	n.协议，协定，契约
ahead	ad.,a.在前面，向前
aim	vt.瞄准，以...掷向
aircraft	n.飞机
airfield	n.飞机场
air-hostess	n.女乘务员
album	n.签名簿，照片册
alibi	n.托辞，借口，辩解
alive	a.活着的，有生气的
all right	行，好，可以
allow	vt.允许，听任，认为
almost	ad.差不多，将近
alone	单独、独自
also	ad.亦，也，同样
although	conj.尽管，虽然
amateur	a.业余的
ambassador	n.大使；特使，代表
amusement	n.娱乐，消遣
amusing	a.有趣的，逗人笑的
ancient	a.古代的，古老的
angrily	ad.气愤地
angrily	ad.气愤地
angry	a.发怒的，生气的
angry	a.发怒的，生气的
announce	vt.宣布，宣告，发表
announcer	n.播音员，宣告者
annoy	vt.使恼火，使生气
annoying	a.恼人的，讨厌的
anxiously	ad.焦急地，不安地
anyway	ad.不管怎样,无论如何
anywhere	ad.任何地方
apart	ad.离开，离去，除去
apparently	ad.明显地；外表地
appear	vi.出场，出现，显露
appetite	n.胃口，食欲，肉欲
appreciate	vt.欣赏；评价，鉴别
approach	vt.走近，接近，逼近
architect	n.建筑师，创制者
area	n.地区，区域，面积
arm	n.臂；武器；vi.准备（斗争）
around	prep.在…周围
arrest	vt.拘捕，扣留，抑止
art	n.艺术，美术，技巧
article	n.商品，文章，冠词
artiste	n.艺人，技艺家
as far as	直到…为止
aside	ad.到旁边，在旁边
ask for	征求，要价，索取
asleep	a.睡着了的，不活泼的
astonish	vt.使惊讶
astronaut	n.宇宙航行员
Atlantic	a.大西洋的
Atlantic	a.大西洋的
attempt	vt.试图，尝试，袭击
attend	vt.出席，参加；照应
attention	n.注意，关心，注意力
attention	n.注意，关心；注意力
aunt	n.姨母，姑母，伯母
aunt	n.姨母，姑母，伯母
authorities	n.当局，权力，权威
average	a.平均的，通常的
avoid	vt.避免，回避，废止
awkwardly	ad.局促不安地,笨拙地
badly	ad.严重地，非常地
bag	n.手提包，钱包，袋
balloon	n.气球，飞船
bark	vi.吠叫，咆哮，怒吼
basement	n.地下室，地窖，墙脚
batter	vt.击破，捣坏，炮击
be pleased with	对...感到满意
bear	vi.忍受，负担
because of	因为，由于
before	prep.在...以前
beggar	n.乞丐，穷人，募捐者
bell	n.钟，铃；铃声；vt.敲钟；
below	ad.在下面
beneath	prep.在...下面，次于
bicycle	n.自行车
bill	n.帐单，清单；报单
bird	n.鸟，禽
Birmingham	n.伯明翰(英国城市)
biscuit	n.饼干
bits	n.小片，少许
bitterly	ad.厉害地，非常地
blackened	a.熏黑了的，抹黑了的
blaze	vi.发强光，闪耀
blessing	n.福气，神恩；祝福
block	n.一排(房屋)，一套
blow	vt.& vi. （风）吹；
board	n.甲板，板，木板
boldly	ad.大胆地，勇敢地
bomb	n.炸弹；突发事件
boot	n.长统靴
border	n.边界，界线，边境
borrow	vt.,vi.借，借用
bow	vi.鞠躬，俯躬，俯首
brake pedal	n.刹车踏板
Brasilia	巴西利亚(巴西首都)
breath	n.呼吸，气息；气味
bright	a.色彩鲜艳的，明亮的
brilliant	a.精采的，辉煌的
Britain	n.不列颠，英国
British	n.英国人 a.英国的
build	vt.建造，建设，创立
bull	n.公牛
bulletin	n.新闻简报，公告
bullfight	n.斗牛
buoy	n.浮标，救生圈
burn	vi.燃烧，烧焦，烧伤
burnt down	被烧成平地
burst	vi.爆炸，胀破，闯入
bury	vt.埋藏，掩蔽，埋葬
bus-driver	n.公共汽车驾驶员
bush	n.灌木丛，未开垦地
business	n.事务，职责；商业
business	n.事务，职责，商业
businessman	n.商人，实业家
busman	n.公共汽车司机
California	n.加利福尼亚
call at	拜访
caller	n.打电话者，呼唤者
calm	vt.使镇定，使安静
camp	n.野营，军营，阵营
capital	n.首都，资本
capsule	n.容器，囊状器，封壳
captain	n.船长，机长，上尉
car park	停车场
carefully	ad.小心地，注意地
carelessly	ad.随便地，粗心地
carry	vi.抬，扛，搬运
cart-load	n.一车之载量
cause	vt.引起 n.原因，缘由
cave	n.山洞，地窖，洞穴
center	n.中心，中央；中心区
century	n.世纪，百年；一百个
certain	a.某一个，一定的
champion	n.冠军，拥护者，勇士
champion	n.冠军，胜者
channel	n.海峡；水路；槽
check	vt.检查，核对；制止
cheerful	a.快乐的，高兴的
