puman	美洲狮
spotv	看出，发现
evidencen	证据
accumulatev	积累，积聚
obligev	使…感到必须
huntn	追猎；寻找；v.打猎
blackberryn	黑莓
human	人类
cornerv	使走投无路，使陷入困境；n.角落
trailn	一串，一系列
printn	印痕
clingv	粘
convincev	使…信服
somehowad	不知怎么搞的，不知什么原因
disturb	v.令人不安
equal	v.等于
vicarn	牧师
raisev	募集，筹(款)
torchlightn	电筒光
goddessn	女神
archaeologistn	考古学家
Aegeana	爱琴海的
explorev	考察，勘探
promontoryn	海角
prosperousa	(经济上)繁荣的，昌盛的
civilization	n.文明
storey	n.楼层
drainage	n.排水
worship	n.祟拜
sacred	a.宗教的，神圣的
fragment	n.碎片
remains	n.遗物，遗迹，废墟
classical	a.(希腊和罗马)古文化的
reconstruct	v.修复
rest	v.倚放，放置
hip	n.屁股，臀部
full-length	a.(裙衣)拖地长的
graceful	a.优雅的
identity	n.身份
manual	a.体力的
collar	n.衣领
sacrifice	v.牺牲，献出
Privilege	n..好处，特权;优特
dustman	n.清洁工
corporation	n.公司
overalls	n.工作服
shower	n.淋浴
secret	n.秘密
status	n.地位
editor	n.编辑
extreme	n.极端
statistics	n.统计数字
journalist	n.新闻记者
president	n.总统
palace	n.王宫；宏伟的住宅
publish	v.出版
fax	n.传真
impatient	a.不耐烦的
fire	v.解雇
originally	ad.起初，原先，从前
smash-and-grab	n.砸窗户抢劫
arcade	n.有拱廊的街道(两旁常设商店)
Piccadilly	n.皮卡迪利大街（伦敦市中心一条著名的街道）
jewellery	n.珠宝(总称)
necklace	n.项链
ring	n.戒指；环形物
background	n.背景
velvet	n.天鹅绒，丝绒
headlight	n.(汽车等)前灯
blare	v.发嘟嘟声，吼叫
staff	n.全体工作人员
raid	n.偷袭
scramble	v.爬行
fantastic	a.非常大的
ashtray	n.烟灰缸
mutilate	v.使残缺不全，毁坏
chew	v.咀嚼
fiancé	n.未婚夫
microwave	n.微波，微波炉
oven	n.炉灶
safekeeping	n.妥善保管
Newcastle	n.纽卡斯尔(英国港口城市)
identify	v.鉴定，识别
spokeswoman	n.女发言人
monastery	n.寺院，修道院
St.Bernard	圣伯纳德
pass	n.关隘
watchdog	n.看门狗
rashly	a.莽撞地，冒失地
enclosure	n.围场，圈地
monk	n.和尚，僧侣,修道士
privacy	n.清静，隐居
skier	n.滑雪者
Easter	n.复活节
fascinate	v.迷住，吸引住
affectionate	a.充满深情的，柔情的
mysterious	a.神秘的，难以理解的
submissive	a.服从的，顺从的
feline	a.猫的
independence	n.独立，独立性
high-rise	a.高层的
windowsill	n.窗槛，窗台
paratrooper	n.伞兵
squirrel	n.松鼠
air-resistance	n.空气阻力
impact	n.冲击力
Southampton	n.南安普敦(英国港口城市)
colossal	a.庞大的,巨大的
watertight	a.不漏水的
compartment	n.(轮船的)密封舱
flood	v.充满水
float	v.漂浮，飘浮
tragic	a.悲惨的
liner	n.班船, 大客轮；班机
voyage	n.航行
iceberg	n.冰山
lookout	n.瞭望员
collision	n.碰撞
narrowly	ad.刚刚，勉强地
miss	v.避开
slight	a.轻微的
tremble	v.震颤
faint	a.微弱的
horror	n.恐惧
abandon	v.抛弃
plunge	v.投入，跳入；陷入
lifeboat	n.救生船
